Date,Open,High,Low,Close,Volume
2019-06-19 09:30:00,0.09097,0.09105,0.09063,0.09063,38996.0
2019-06-19 10:00:00,0.09063,0.0908,0.0905,0.0908,11653.5
2019-06-19 10:30:00,0.0908,0.0908,0.09055,0.09055,2117.9
2019-06-19 11:00:00,0.09055,0.09056,0.09034,0.09042,15849.2
2019-06-19 11:30:00,0.09042,0.09055,0.09037,0.09055,1810.3
2019-06-19 12:00:00,0.09055,0.09063,0.0904,0.0904,3101.8
2019-06-19 12:30:00,0.0904,0.0904,0.09,0.09023,64563.3
2019-06-19 13:00:00,0.09023,0.09042,0.09,0.09042,16159.8
2019-06-19 13:30:00,0.09042,0.09042,0.08987,0.08988,4235.4
2019-06-19 14:00:00,0.08988,0.08988,0.0895,0.08955,5383.1
2019-06-19 14:30:00,0.08928,0.08928,0.08888,0.08888,3523.7
2019-06-19 15:00:00,0.08888,0.08888,0.08888,0.08888,283.6
2019-06-19 15:30:00,0.08888,0.08944,0.08888,0.08944,135.6
2019-06-19 16:00:00,0.08944,0.08949,0.08941,0.08941,406.5
2019-06-19 16:30:00,0.08941,0.08967,0.08941,0.08967,380.4
2019-06-19 17:00:00,0.08967,0.08976,0.08932,0.08932,1957.1
2019-06-19 17:30:00,0.08932,0.08932,0.08932,0.08932,0.0
2019-06-19 18:00:00,0.08932,0.08964,0.08932,0.08964,450.0
2019-06-19 18:30:00,0.08964,0.0898,0.08964,0.0898,100.2
2019-06-19 19:00:00,0.0898,0.0898,0.0897,0.0898,174.6
2019-06-19 19:30:00,0.0898,0.0898,0.08979,0.08979,960.6
2019-06-19 20:00:00,0.08979,0.08979,0.08979,0.08979,0.0
2019-06-19 20:30:00,0.08979,0.08979,0.0895,0.0895,883.3
2019-06-19 21:00:00,0.0895,0.0895,0.0895,0.0895,0.0
2019-06-19 21:30:00,0.0895,0.0898,0.0895,0.0898,2455.8
2019-06-19 22:00:00,0.0898,0.0898,0.0898,0.0898,0.0
2019-06-19 22:30:00,0.0898,0.0898,0.08962,0.08962,151.1
2019-06-19 23:00:00,0.08962,0.08962,0.08962,0.08962,0.0
2019-06-19 23:30:00,0.08962,0.08962,0.08962,0.08962,0.0
2019-06-20 00:00:00,0.08962,0.08962,0.08925,0.08925,708.0
2019-06-20 00:30:00,0.08925,0.08925,0.088,0.088,5355.6
2019-06-20 01:00:00,0.088,0.0888,0.088,0.0888,1702.5
2019-06-20 01:30:00,0.0888,0.0888,0.0887,0.0887,651.9
2019-06-20 02:00:00,0.0887,0.0887,0.08818,0.08818,508.9
2019-06-20 02:30:00,0.08818,0.08825,0.08818,0.08825,4289.1
2019-06-20 03:00:00,0.08825,0.08825,0.08825,0.08825,0.0
2019-06-20 03:30:00,0.08825,0.08891,0.08824,0.08891,3023.5
2019-06-20 04:00:00,0.08891,0.08891,0.08891,0.08891,0.0
2019-06-20 04:30:00,0.08891,0.08897,0.08891,0.08897,100.0
2019-06-20 05:00:00,0.08897,0.08897,0.08897,0.08897,63.4
2019-06-20 05:30:00,0.08897,0.08897,0.08863,0.08863,19207.2
2019-06-20 06:00:00,0.08863,0.08873,0.08862,0.08873,331.8
2019-06-20 06:30:00,0.08873,0.08873,0.08864,0.08864,999.0
2019-06-20 07:00:00,0.08864,0.08864,0.08836,0.08836,12127.8
2019-06-20 07:30:00,0.08836,0.08836,0.08836,0.08836,0.0
2019-06-20 08:00:00,0.08836,0.08836,0.088,0.088,946.0
2019-06-20 08:30:00,0.088,0.088,0.08752,0.08752,1792.7
2019-06-20 09:00:00,0.08752,0.08759,0.08752,0.08758,4910.8
2019-06-20 09:30:00,0.08758,0.08758,0.0875,0.0875,1142.8
2019-06-20 10:00:00,0.0875,0.08777,0.08736,0.08777,8840.3
2019-06-20 10:30:00,0.08777,0.08814,0.08777,0.08814,1483.6
2019-06-20 11:00:00,0.08814,0.08814,0.08766,0.08766,443.7
2019-06-20 11:30:00,0.08766,0.08793,0.0875,0.0875,1816.5
2019-06-20 12:00:00,0.0875,0.0875,0.0875,0.0875,0.0
2019-06-20 12:30:00,0.0875,0.0875,0.0875,0.0875,1404.9
2019-06-20 13:00:00,0.0875,0.08816,0.0875,0.08816,8567.7
2019-06-20 13:30:00,0.08816,0.08816,0.08783,0.08783,3059.8
2019-06-20 14:00:00,0.08783,0.08783,0.08783,0.08783,0.0
2019-06-20 14:30:00,0.08783,0.08783,0.08783,0.08783,0.0
2019-06-20 15:00:00,0.08844,0.08844,0.0873,0.0873,6093.5
2019-06-20 15:30:00,0.0873,0.0873,0.0873,0.0873,0.0
2019-06-20 16:00:00,0.0873,0.08784,0.0873,0.08784,1297.7
2019-06-20 16:30:00,0.08784,0.08784,0.08784,0.08784,0.0
2019-06-20 17:00:00,0.08745,0.08745,0.08745,0.08745,154.9
2019-06-20 17:30:00,0.08745,0.08775,0.08745,0.08772,2793.7
2019-06-20 18:00:00,0.08772,0.08772,0.08772,0.08772,0.0
2019-06-20 18:30:00,0.08772,0.08772,0.08772,0.08772,0.0
2019-06-20 19:00:00,0.08772,0.08772,0.08772,0.08772,0.0
2019-06-20 19:30:00,0.08772,0.08772,0.08701,0.08701,2215.4
2019-06-20 20:00:00,0.08701,0.08701,0.08701,0.08701,0.0
2019-06-20 20:30:00,0.08701,0.08701,0.08636,0.08636,316.9
2019-06-20 21:00:00,0.08636,0.08636,0.08636,0.08636,0.0
2019-06-20 21:30:00,0.08636,0.08636,0.08636,0.08636,0.0
