Date,Open,High,Low,Close,Volume
2019-11-26 10:30:00,15.3433,15.3433,15.3433,15.3433,0.2
2019-11-26 11:00:00,15.3433,15.3433,15.3397,15.3397,5.61
2019-11-26 11:30:00,15.3397,15.3397,15.3397,15.3397,0.0
2019-11-26 12:00:00,15.3397,15.4052,15.2803,15.2826,51.7
2019-11-26 12:30:00,15.2826,15.3173,15.2826,15.2893,41.06
2019-11-26 13:00:00,15.2893,15.2893,15.2248,15.2248,3.12
2019-11-26 13:30:00,15.2248,15.2248,15.2,15.2,6.68
2019-11-26 14:00:00,15.2,15.2,15.2,15.2,0.0
2019-11-26 14:30:00,15.2,15.2,15.18,15.18,1.45
2019-11-26 15:00:00,15.18,15.18,15.18,15.18,0.0
2019-11-26 15:30:00,15.18,15.3648,15.18,15.3648,23.65
2019-11-26 16:00:00,15.3648,15.4315,15.3648,15.3996,11.84
2019-11-26 16:30:00,15.3996,15.3996,15.3878,15.3878,0.98
2019-11-26 17:00:00,15.3878,15.3878,15.3157,15.3157,114.51
2019-11-26 17:30:00,15.3157,15.378,15.3157,15.378,6.5
2019-11-26 18:00:00,15.378,15.378,15.3023,15.3023,7.34
2019-11-26 18:30:00,15.3023,15.3023,15.3023,15.3023,0.0
2019-11-26 19:00:00,15.3023,15.3023,15.3023,15.3023,0.0
2019-11-26 19:30:00,15.3023,15.3023,15.2441,15.2441,13.68
2019-11-26 20:00:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 20:30:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 21:00:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 21:30:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 22:00:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 22:30:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 23:00:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 23:30:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-27 00:00:00,15.2441,15.3496,15.2441,15.3496,2.04
2019-11-27 00:30:00,15.3496,15.43,15.3496,15.43,4.32
2019-11-27 01:00:00,15.43,15.5365,15.43,15.5365,10.94
2019-11-26 19:30:00,15.3023,15.3023,15.2441,15.2441,13.68
2019-11-26 20:00:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 20:30:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 21:00:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 21:30:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 22:00:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 22:30:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 23:00:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-26 23:30:00,15.2441,15.2441,15.2441,15.2441,0.0
2019-11-27 00:00:00,15.2441,15.3496,15.2441,15.3496,2.04
2019-11-27 00:30:00,15.3496,15.43,15.3496,15.43,4.32
2019-11-27 01:00:00,15.43,15.5365,15.43,15.5365,10.94
