"","Date","Open","High","Low","Close","Volume","Cryptocurrency"
"126",2018-11-24,125.5,129.5,115,117.21,194.178,"Ethereum"
"127",2018-11-25,117.21,121.7,102.81,118.1,433.557,"Ethereum"
"128",2018-11-26,118.1,120.18,107.91,108.63,416.988,"Ethereum"
"129",2018-11-27,108.63,113,104,110.83,545.657,"Ethereum"
"130",2018-11-28,110.83,126.42,110.83,122.02,295.645,"Ethereum"
"131",2018-11-29,122.02,126,115.01,118.11,335.221,"Ethereum"
"132",2018-11-30,118.11,120,112,112,368.572,"Ethereum"
"133",2018-12-01,112,120,111.63,117.92,225.761,"Ethereum"
"134",2018-12-02,117.92,120,116,117.47,157.274,"Ethereum"
"135",2018-12-03,117.47,118.09,107.19,109.83,365.619,"Ethereum"
"136",2018-12-04,109.83,113.5,107,113.39,205.895,"Ethereum"
"137",2018-12-05,113.39,113.39,102.9,103.21,500.218,"Ethereum"
"138",2018-12-06,103.21,104.74,92,92,514.719,"Ethereum"
"139",2018-12-07,92,96.83,82.5,92.59,751.176,"Ethereum"
"140",2018-12-08,92.59,97,85.5,91.14,242.572,"Ethereum"
"141",2018-12-09,91.14,98.08,88.4,93.27,230.605,"Ethereum"
"142",2018-12-10,93.27,93.82,88.27,90.46,395.893,"Ethereum"
"143",2018-12-11,90.46,91.86,86.34,87.84,359.924,"Ethereum"
"144",2018-12-12,87.84,90.99,87.11,89.71,220.674,"Ethereum"
"145",2018-12-13,89.71,90.48,85.1,85.5,136.078,"Ethereum"
"146",2018-12-14,85.5,86.94,82.53,84.04,223.621,"Ethereum"
"147",2018-12-15,84.04,85.2,82.24,83.96,199.683,"Ethereum"
"148",2018-12-16,83.96,87.84,83.66,85,106.626,"Ethereum"
"149",2018-12-17,85,96.6,84.63,93.06,297.019,"Ethereum"
"150",2018-12-18,93.06,100,91.99,100,455.303,"Ethereum"
"151",2018-12-19,100.4,107,97.81,99.46,631.889,"Ethereum"
"152",2018-12-20,99.46,115.41,99.46,112.84,587.005,"Ethereum"
"153",2018-12-21,112.84,117.88,105.01,108.01,450.003,"Ethereum"
"154",2018-12-22,108,114,105.67,114,157.693,"Ethereum"
"155",2018-12-23,114,131.25,114,129,514.861,"Ethereum"
"156",2018-12-24,129,157.8,129,138,1294.037,"Ethereum"
"157",2018-12-25,138,138.05,120,127.83,438.163,"Ethereum"
"158",2018-12-26,127.83,135,122.9,130.82,496.116,"Ethereum"
"159",2018-12-27,129.8,129.8,112.1,113.82,354.775,"Ethereum"
"160",2018-12-28,113.82,135.98,112.2,135,515.516,"Ethereum"
"161",2018-12-29,135,144.59,129.25,133.24,423.215,"Ethereum"
"162",2018-12-30,133.24,138.16,130,136.29,273.135,"Ethereum"
